new_filename,original_filename,ego_agent_idx,interactivity_score,map_id
map_000129.bin,map_019898.bin,12,0.309246,19898
map_000130.bin,map_012934.bin,59,0.417475,12934
map_000131.bin,map_007486.bin,42,0.278691,7486
map_000132.bin,map_029019.bin,52,0.198488,29019
map_000133.bin,map_027876.bin,8,0.213894,27876
map_000134.bin,map_004966.bin,27,0.244199,4966
map_000135.bin,map_002045.bin,21,0.390725,2045
map_000136.bin,map_006224.bin,1,0.094041,6224
map_000137.bin,map_008701.bin,39,0.332700,8701
map_000138.bin,map_035504.bin,31,0.195695,35504
map_000139.bin,map_008488.bin,9,0.308628,8488
map_000140.bin,map_038672.bin,11,0.299636,38672
map_000141.bin,map_024052.bin,60,0.619759,24052
map_000142.bin,map_033529.bin,20,0.298708,33529
map_000143.bin,map_004462.bin,34,0.153695,4462
map_000144.bin,map_022510.bin,40,0.244411,22510
map_000145.bin,map_020636.bin,144,0.401384,20636
map_000146.bin,map_033794.bin,2,0.222417,33794
map_000147.bin,map_026608.bin,28,0.336659,26608
map_000148.bin,map_029974.bin,33,0.132881,29974
map_000149.bin,map_014252.bin,13,0.233577,14252
map_000150.bin,map_032271.bin,19,0.149191,32271
map_000151.bin,map_000426.bin,38,0.396347,426
map_000152.bin,map_038660.bin,1,0.172007,38660
map_000153.bin,map_041179.bin,38,0.530285,41179
map_000154.bin,map_007001.bin,52,0.099308,7001
map_000155.bin,map_039448.bin,40,0.210301,39448
map_000156.bin,map_031241.bin,50,0.294255,31241
map_000157.bin,map_015720.bin,6,0.190451,15720
map_000158.bin,map_037583.bin,10,0.256341,37583
map_000159.bin,map_019038.bin,23,0.230462,19038
map_000160.bin,map_006729.bin,11,0.261828,6729
map_000161.bin,map_017676.bin,5,0.198946,17676
map_000162.bin,map_024842.bin,31,0.389706,24842
map_000163.bin,map_009094.bin,23,0.219089,9094
map_000164.bin,map_026316.bin,20,0.306201,26316
map_000165.bin,map_001416.bin,25,0.083602,1416
map_000166.bin,map_041457.bin,26,0.119032,41457
map_000167.bin,map_041115.bin,127,0.251809,41115
map_000168.bin,map_015319.bin,7,0.598982,15319
map_000169.bin,map_027488.bin,5,0.386404,27488
map_000170.bin,map_011285.bin,14,0.309838,11285
map_000171.bin,map_029213.bin,11,0.203085,29213
map_000172.bin,map_005850.bin,18,0.176049,5850
map_000173.bin,map_036183.bin,3,0.208360,36183
map_000174.bin,map_018263.bin,10,0.155567,18263
map_000175.bin,map_036761.bin,22,0.263140,36761
map_000176.bin,map_029212.bin,29,0.120183,29212
map_000177.bin,map_034834.bin,1,0.152531,34834
map_000178.bin,map_011357.bin,6,0.457135,11357
map_000179.bin,map_008701.bin,37,0.285810,8701
map_000180.bin,map_021292.bin,22,0.015457,21292
map_000181.bin,map_009680.bin,21,0.191472,9680
map_000182.bin,map_030876.bin,12,0.029781,30876
map_000183.bin,map_030742.bin,10,0.486265,30742
map_000184.bin,map_000641.bin,25,0.131964,641
map_000185.bin,map_034364.bin,0,0.328907,34364
map_000186.bin,map_018936.bin,30,0.179369,18936
map_000187.bin,map_028085.bin,28,0.077692,28085
map_000188.bin,map_001901.bin,40,0.179491,1901
map_000189.bin,map_006747.bin,10,0.167884,6747
map_000190.bin,map_020758.bin,0,0.338351,20758
map_000191.bin,map_016784.bin,2,0.226137,16784
map_000192.bin,map_013483.bin,11,0.201904,13483
map_000193.bin,map_003224.bin,14,0.418189,3224
map_000194.bin,map_014360.bin,0,0.066835,14360
map_000195.bin,map_033166.bin,87,0.126507,33166
map_000196.bin,map_004585.bin,18,0.450154,4585
map_000197.bin,map_004267.bin,16,0.277643,4267
map_000198.bin,map_028329.bin,38,0.189279,28329
map_000199.bin,map_005618.bin,3,0.193992,5618
map_000200.bin,map_029675.bin,31,0.253333,29675
map_000201.bin,map_006851.bin,33,0.277380,6851
map_000202.bin,map_007600.bin,2,0.328859,7600
map_000203.bin,map_037865.bin,21,0.252726,37865
map_000204.bin,map_027727.bin,65,0.329754,27727
map_000205.bin,map_031172.bin,3,0.127691,31172
map_000206.bin,map_009299.bin,40,0.302862,9299
map_000207.bin,map_015118.bin,15,0.063255,15118
map_000208.bin,map_030087.bin,27,0.073910,30087
map_000209.bin,map_033800.bin,19,0.255521,33800
map_000210.bin,map_025005.bin,75,0.084374,25005
map_000211.bin,map_011994.bin,12,0.296643,11994
map_000212.bin,map_030872.bin,1,0.249171,30872
map_000213.bin,map_039819.bin,4,0.191402,39819
map_000214.bin,map_011487.bin,117,0.225502,11487
map_000215.bin,map_040638.bin,71,0.310944,40638
map_000216.bin,map_017929.bin,7,0.137373,17929
map_000217.bin,map_023315.bin,61,0.340347,23315
map_000218.bin,map_039547.bin,25,0.095386,39547
map_000219.bin,map_037101.bin,21,0.205218,37101
map_000220.bin,map_021265.bin,8,0.490683,21265
map_000221.bin,map_024944.bin,8,0.146173,24944
map_000222.bin,map_029887.bin,18,0.197833,29887
map_000223.bin,map_025794.bin,4,0.064193,25794
map_000224.bin,map_007176.bin,32,0.357190,7176
map_000225.bin,map_014447.bin,7,0.218900,14447
map_000226.bin,map_012732.bin,45,0.138324,12732
map_000227.bin,map_004300.bin,32,0.195695,4300
map_000228.bin,map_019420.bin,1,0.265437,19420
map_000229.bin,map_001995.bin,17,0.150804,1995
map_000230.bin,map_034565.bin,17,0.265257,34565
map_000231.bin,map_032110.bin,16,0.187405,32110
map_000232.bin,map_013733.bin,1,0.024483,13733
map_000233.bin,map_034573.bin,27,0.377733,34573
map_000234.bin,map_012985.bin,8,0.355256,12985
map_000235.bin,map_000253.bin,95,0.327210,253
map_000236.bin,map_003731.bin,14,0.113668,3731
map_000237.bin,map_040762.bin,114,0.146785,40762
map_000238.bin,map_035601.bin,23,0.163746,35601
map_000239.bin,map_003286.bin,2,0.283492,3286
map_000240.bin,map_013668.bin,12,0.554412,13668
map_000241.bin,map_003506.bin,3,0.107668,3506
map_000242.bin,map_000086.bin,67,0.287241,86
map_000243.bin,map_018588.bin,10,0.312773,18588
map_000244.bin,map_003722.bin,15,0.045014,3722
map_000245.bin,map_029186.bin,10,0.003140,29186
map_000246.bin,map_013400.bin,35,0.330730,13400
map_000247.bin,map_015281.bin,11,0.357788,15281
map_000248.bin,map_038482.bin,9,0.284875,38482
map_000249.bin,map_027697.bin,109,0.333816,27697
map_000250.bin,map_012138.bin,67,0.439403,12138
map_000251.bin,map_030870.bin,12,0.373484,30870
map_000252.bin,map_007538.bin,21,0.223475,7538
map_000253.bin,map_041727.bin,5,0.238675,41727
map_000254.bin,map_033987.bin,70,0.071751,33987
map_000255.bin,map_033492.bin,14,0.559071,33492
map_000256.bin,map_026867.bin,43,0.080655,26867
map_000257.bin,map_012580.bin,1,0.057414,12580
map_000258.bin,map_026891.bin,11,0.222707,26891
map_000259.bin,map_023784.bin,0,0.124057,23784
map_000260.bin,map_010473.bin,27,0.585473,10473
map_000261.bin,map_004165.bin,19,0.255642,4165
map_000262.bin,map_005406.bin,36,0.430890,5406
map_000263.bin,map_037833.bin,58,0.718358,37833
map_000264.bin,map_025140.bin,67,0.133047,25140
map_000265.bin,map_018670.bin,27,0.125691,18670
map_000266.bin,map_025035.bin,5,0.071174,25035
map_000267.bin,map_024510.bin,22,0.291027,24510
map_000268.bin,map_026943.bin,21,0.030278,26943
map_000269.bin,map_000114.bin,10,0.031739,114
map_000270.bin,map_038042.bin,12,0.103523,38042
map_000271.bin,map_037697.bin,18,0.484295,37697
map_000272.bin,map_036295.bin,50,0.399364,36295
map_000273.bin,map_005487.bin,61,0.103963,5487
map_000274.bin,map_003696.bin,26,0.389582,3696
map_000275.bin,map_023033.bin,3,0.227090,23033
map_000276.bin,map_019491.bin,9,0.788042,19491
map_000277.bin,map_006203.bin,0,0.185649,6203
map_000278.bin,map_014491.bin,19,0.201930,14491
map_000279.bin,map_011034.bin,37,0.123182,11034
map_000280.bin,map_010463.bin,1,0.059290,10463
map_000281.bin,map_031397.bin,5,0.530762,31397
map_000282.bin,map_025636.bin,6,0.531860,25636
map_000283.bin,map_006582.bin,68,0.312597,6582
map_000284.bin,map_024038.bin,25,0.155225,24038
map_000285.bin,map_010673.bin,38,0.154117,10673
map_000286.bin,map_015282.bin,27,0.536253,15282
map_000287.bin,map_026205.bin,7,0.236618,26205
map_000288.bin,map_013962.bin,12,0.025314,13962
map_000289.bin,map_004796.bin,18,0.230941,4796
map_000290.bin,map_025426.bin,10,0.149024,25426
map_000291.bin,map_031701.bin,54,0.251246,31701
map_000292.bin,map_005459.bin,8,0.325093,5459
map_000293.bin,map_002234.bin,149,0.179389,2234
map_000294.bin,map_037624.bin,3,0.506543,37624
map_000295.bin,map_030445.bin,15,0.246914,30445
map_000296.bin,map_002722.bin,2,0.236036,2722
map_000297.bin,map_004107.bin,2,0.277126,4107
map_000298.bin,map_014799.bin,26,0.043860,14799
map_000299.bin,map_008959.bin,123,0.281031,8959
map_000300.bin,map_023751.bin,7,0.282810,23751
map_000301.bin,map_028309.bin,26,0.229112,28309
map_000302.bin,map_027969.bin,37,0.202490,27969
map_000303.bin,map_012107.bin,8,0.073106,12107
map_000304.bin,map_022437.bin,36,0.217079,22437
map_000305.bin,map_003272.bin,23,0.116726,3272
map_000306.bin,map_009270.bin,9,0.266351,9270
map_000307.bin,map_022186.bin,46,0.186358,22186
map_000308.bin,map_003042.bin,81,0.070687,3042
map_000309.bin,map_022928.bin,0,0.241125,22928
map_000310.bin,map_015126.bin,10,0.169379,15126
map_000311.bin,map_026386.bin,34,0.029961,26386
map_000312.bin,map_017482.bin,28,0.150959,17482
map_000313.bin,map_024098.bin,32,0.244650,24098
map_000314.bin,map_039696.bin,28,0.418257,39696
map_000315.bin,map_032415.bin,4,0.086808,32415
map_000316.bin,map_037980.bin,10,0.191742,37980
map_000317.bin,map_041346.bin,1,0.283272,41346
map_000318.bin,map_028369.bin,62,0.119579,28369
map_000319.bin,map_009311.bin,38,0.198714,9311
map_000320.bin,map_010449.bin,30,0.085059,10449
map_000321.bin,map_017055.bin,16,0.212816,17055
map_000322.bin,map_012435.bin,82,0.135812,12435
map_000323.bin,map_003265.bin,93,0.486271,3265
map_000324.bin,map_032657.bin,8,0.093794,32657
map_000325.bin,map_030229.bin,0,0.297227,30229
map_000326.bin,map_003321.bin,9,0.236166,3321
map_000327.bin,map_016937.bin,4,0.137488,16937
map_000328.bin,map_003482.bin,1,0.190602,3482
map_000329.bin,map_002203.bin,29,0.066777,2203
map_000330.bin,map_034128.bin,7,0.130522,34128
map_000331.bin,map_027110.bin,13,0.292604,27110
map_000332.bin,map_028729.bin,81,0.108563,28729
map_000333.bin,map_030792.bin,16,0.148339,30792
map_000334.bin,map_009058.bin,26,0.259028,9058
map_000335.bin,map_003465.bin,15,0.122074,3465
map_000336.bin,map_029221.bin,12,0.413105,29221
map_000337.bin,map_004867.bin,0,0.117875,4867
map_000338.bin,map_010503.bin,7,0.316422,10503
map_000339.bin,map_003567.bin,20,0.292818,3567
map_000340.bin,map_033748.bin,6,0.521578,33748
map_000341.bin,map_003532.bin,52,0.340870,3532
map_000342.bin,map_039356.bin,101,0.245442,39356
map_000343.bin,map_014724.bin,183,0.190304,14724
map_000344.bin,map_023090.bin,11,0.330417,23090
map_000345.bin,map_007117.bin,45,0.360156,7117
map_000346.bin,map_033904.bin,3,0.204023,33904
map_000347.bin,map_013354.bin,174,0.354891,13354
map_000348.bin,map_032644.bin,38,0.174316,32644
map_000349.bin,map_033720.bin,11,0.092116,33720
map_000350.bin,map_000747.bin,64,0.149589,747
map_000351.bin,map_035745.bin,27,0.182045,35745
map_000352.bin,map_005076.bin,18,0.250313,5076
map_000353.bin,map_023984.bin,0,0.191120,23984
map_000354.bin,map_038333.bin,13,0.178061,38333
map_000355.bin,map_034100.bin,63,0.721938,34100
map_000356.bin,map_032039.bin,48,0.153192,32039
map_000357.bin,map_030192.bin,8,0.366941,30192
map_000358.bin,map_018093.bin,22,0.211893,18093
map_000359.bin,map_014975.bin,8,0.274634,14975
map_000360.bin,map_011752.bin,13,0.216266,11752
map_000361.bin,map_039223.bin,3,0.095465,39223
map_000362.bin,map_041221.bin,13,0.395603,41221
map_000363.bin,map_016970.bin,129,0.029716,16970
map_000364.bin,map_013438.bin,36,0.073267,13438
map_000365.bin,map_015153.bin,40,0.071231,15153
map_000366.bin,map_023136.bin,16,0.398319,23136
map_000367.bin,map_008152.bin,19,0.170551,8152
map_000368.bin,map_039547.bin,27,0.026065,39547
map_000369.bin,map_036256.bin,2,0.388553,36256
map_000370.bin,map_017864.bin,22,0.363640,17864
map_000371.bin,map_026510.bin,9,0.207138,26510
map_000372.bin,map_018082.bin,38,0.215625,18082
map_000373.bin,map_005122.bin,16,0.202140,5122
map_000374.bin,map_001388.bin,0,0.162309,1388
map_000375.bin,map_026571.bin,29,0.043649,26571
map_000376.bin,map_035244.bin,0,0.197148,35244
map_000377.bin,map_032805.bin,25,0.358117,32805
map_000378.bin,map_006192.bin,48,0.119863,6192
map_000379.bin,map_005163.bin,71,0.127767,5163
map_000380.bin,map_031282.bin,14,0.128783,31282
map_000381.bin,map_012370.bin,11,0.115596,12370
map_000382.bin,map_029300.bin,45,0.103944,29300
map_000383.bin,map_015126.bin,9,0.160869,15126
map_000384.bin,map_007545.bin,25,0.479136,7545
map_000385.bin,map_019171.bin,1,0.372495,19171
map_000386.bin,map_003581.bin,47,0.416537,3581
map_000387.bin,map_014148.bin,20,0.169882,14148
map_000388.bin,map_021448.bin,17,0.308697,21448
map_000389.bin,map_017465.bin,0,0.176355,17465
map_000390.bin,map_009072.bin,22,0.631779,9072
map_000391.bin,map_024949.bin,49,0.025401,24949
map_000392.bin,map_030282.bin,2,0.510674,30282
map_000393.bin,map_040409.bin,14,0.156653,40409
map_000394.bin,map_017106.bin,12,0.453975,17106
map_000395.bin,map_035488.bin,38,0.160969,35488
map_000396.bin,map_038128.bin,51,0.134912,38128
map_000397.bin,map_029965.bin,80,0.243222,29965
map_000398.bin,map_000294.bin,11,0.076113,294
map_000399.bin,map_038419.bin,17,0.096681,38419
map_000400.bin,map_032150.bin,30,0.162176,32150
map_000401.bin,map_017827.bin,135,0.197565,17827
map_000402.bin,map_038270.bin,142,0.294916,38270
map_000403.bin,map_005996.bin,17,0.137886,5996
map_000404.bin,map_008053.bin,30,0.448727,8053
map_000405.bin,map_015388.bin,2,0.265956,15388
map_000406.bin,map_007052.bin,8,0.046606,7052
map_000407.bin,map_005885.bin,137,0.216066,5885
map_000408.bin,map_032271.bin,18,0.035741,32271
map_000409.bin,map_009340.bin,15,0.702608,9340
map_000410.bin,map_015938.bin,71,0.205285,15938
map_000411.bin,map_016369.bin,8,0.402034,16369
map_000412.bin,map_035001.bin,4,0.181009,35001
map_000413.bin,map_011929.bin,1,0.132674,11929
map_000414.bin,map_041304.bin,6,0.453020,41304
map_000415.bin,map_020005.bin,11,0.154740,20005
map_000416.bin,map_011715.bin,106,0.166542,11715
map_000417.bin,map_039983.bin,28,0.311447,39983
map_000418.bin,map_036475.bin,23,0.473580,36475
map_000419.bin,map_015355.bin,9,0.237085,15355
map_000420.bin,map_028480.bin,26,0.095262,28480
map_000421.bin,map_028079.bin,15,0.151188,28079
map_000422.bin,map_014230.bin,18,0.390359,14230
map_000423.bin,map_002243.bin,63,0.188318,2243
map_000424.bin,map_006047.bin,32,0.354212,6047
map_000425.bin,map_036479.bin,20,0.278513,36479
map_000426.bin,map_025034.bin,21,0.205569,25034
map_000427.bin,map_015483.bin,7,0.406882,15483
map_000428.bin,map_000979.bin,3,0.288168,979
map_000429.bin,map_001435.bin,16,0.301692,1435
map_000430.bin,map_019357.bin,119,0.048042,19357
map_000431.bin,map_008149.bin,8,0.074163,8149
map_000432.bin,map_036952.bin,10,0.309773,36952
map_000433.bin,map_014840.bin,3,0.094572,14840
map_000434.bin,map_009682.bin,16,0.139986,9682
map_000435.bin,map_025246.bin,3,0.209621,25246
map_000436.bin,map_031769.bin,5,0.077101,31769
map_000437.bin,map_040532.bin,37,0.144016,40532
map_000438.bin,map_024664.bin,99,0.261318,24664
map_000439.bin,map_031599.bin,1,0.247022,31599
map_000440.bin,map_002811.bin,1,0.209334,2811
map_000441.bin,map_006747.bin,24,0.187370,6747
map_000442.bin,map_004788.bin,127,0.206073,4788
map_000443.bin,map_039889.bin,7,0.146260,39889
map_000444.bin,map_008699.bin,0,0.068120,8699
map_000445.bin,map_031028.bin,6,0.336013,31028
map_000446.bin,map_002541.bin,81,0.398333,2541
map_000447.bin,map_021429.bin,48,0.257408,21429
map_000448.bin,map_031841.bin,50,0.258599,31841
map_000449.bin,map_032226.bin,13,0.077462,32226
map_000450.bin,map_008642.bin,36,0.252471,8642
map_000451.bin,map_023471.bin,5,0.669998,23471
map_000452.bin,map_006949.bin,71,0.185421,6949
map_000453.bin,map_002964.bin,10,0.236818,2964
map_000454.bin,map_016531.bin,0,0.324477,16531
map_000455.bin,map_021959.bin,15,0.277124,21959
map_000456.bin,map_000752.bin,76,0.154524,752
map_000457.bin,map_021174.bin,12,0.279005,21174
map_000458.bin,map_012094.bin,9,0.311221,12094
map_000459.bin,map_039470.bin,31,0.285423,39470
map_000460.bin,map_013944.bin,18,0.133559,13944
map_000461.bin,map_037759.bin,44,0.187040,37759
map_000462.bin,map_005953.bin,9,0.784229,5953
map_000463.bin,map_018640.bin,22,0.075523,18640
map_000464.bin,map_031552.bin,2,0.325872,31552
map_000465.bin,map_023749.bin,7,0.536253,23749
map_000466.bin,map_035218.bin,86,0.282245,35218
map_000467.bin,map_008799.bin,13,0.246942,8799
map_000468.bin,map_014621.bin,1,0.508567,14621
map_000469.bin,map_009437.bin,1,0.167980,9437
map_000470.bin,map_010986.bin,14,0.308107,10986
map_000471.bin,map_024581.bin,16,0.175873,24581
map_000472.bin,map_000516.bin,21,0.256136,516
map_000473.bin,map_009833.bin,29,0.089264,9833
map_000474.bin,map_018781.bin,2,0.299497,18781
map_000475.bin,map_024550.bin,15,0.255873,24550
map_000476.bin,map_039236.bin,7,0.054168,39236
map_000477.bin,map_014463.bin,6,0.188942,14463
map_000478.bin,map_015718.bin,192,0.562299,15718
map_000479.bin,map_008449.bin,15,0.294531,8449
map_000480.bin,map_041078.bin,7,0.497775,41078
map_000481.bin,map_006342.bin,3,0.631887,6342
map_000482.bin,map_020688.bin,0,0.247046,20688
map_000483.bin,map_001192.bin,10,0.209270,1192
map_000484.bin,map_027366.bin,11,0.174300,27366
map_000485.bin,map_013011.bin,54,0.221875,13011
map_000486.bin,map_011397.bin,13,0.186681,11397
map_000487.bin,map_026084.bin,6,0.069981,26084
map_000488.bin,map_020304.bin,31,0.111866,20304
map_000489.bin,map_016253.bin,48,0.278921,16253
map_000490.bin,map_013186.bin,40,0.272745,13186
map_000491.bin,map_013039.bin,25,0.509703,13039
map_000492.bin,map_000340.bin,22,0.482783,340
map_000493.bin,map_037884.bin,39,0.162793,37884
map_000494.bin,map_011522.bin,2,0.243146,11522
map_000495.bin,map_022289.bin,24,0.078868,22289
map_000496.bin,map_019579.bin,21,0.109968,19579
map_000497.bin,map_015286.bin,35,0.344667,15286
map_000498.bin,map_005629.bin,17,0.413851,5629
map_000499.bin,map_016008.bin,65,0.165679,16008
map_000500.bin,map_020395.bin,6,0.157217,20395
map_000501.bin,map_037216.bin,73,0.183037,37216
map_000502.bin,map_029012.bin,3,0.118564,29012
map_000503.bin,map_023357.bin,26,0.118169,23357
map_000504.bin,map_038615.bin,28,0.145672,38615
map_000505.bin,map_031390.bin,0,0.116367,31390
map_000506.bin,map_018722.bin,60,0.161367,18722
map_000507.bin,map_003164.bin,120,0.234182,3164
map_000508.bin,map_007048.bin,37,0.337940,7048
map_000509.bin,map_014999.bin,68,0.193594,14999
map_000510.bin,map_011281.bin,22,0.283791,11281
map_000511.bin,map_032941.bin,0,0.259705,32941
map_000512.bin,map_015145.bin,7,0.315940,15145
map_000513.bin,map_001164.bin,50,0.090451,1164
map_000514.bin,map_006355.bin,52,0.210002,6355
map_000515.bin,map_033537.bin,21,0.031443,33537
map_000516.bin,map_024829.bin,26,0.356922,24829
map_000517.bin,map_020466.bin,10,0.259830,20466
map_000518.bin,map_016941.bin,43,0.311771,16941
map_000519.bin,map_024744.bin,24,0.308991,24744
map_000520.bin,map_035080.bin,70,0.038309,35080
map_000521.bin,map_029421.bin,29,0.097748,29421
map_000522.bin,map_007065.bin,0,0.548555,7065
map_000523.bin,map_022538.bin,13,0.283668,22538
map_000524.bin,map_033218.bin,35,0.474521,33218
map_000525.bin,map_010458.bin,7,0.050207,10458
map_000526.bin,map_013536.bin,65,0.268138,13536
map_000527.bin,map_000994.bin,28,0.162842,994
map_000528.bin,map_040212.bin,77,0.135948,40212
map_000529.bin,map_024721.bin,23,0.125817,24721
map_000530.bin,map_003012.bin,15,0.349962,3012
map_000531.bin,map_030620.bin,2,0.145592,30620
map_000532.bin,map_030830.bin,9,0.267017,30830
map_000533.bin,map_039938.bin,10,0.151170,39938
map_000534.bin,map_041105.bin,56,0.058960,41105
map_000535.bin,map_039281.bin,0,0.249297,39281
